的	579392145
了	181643774
我	143410901
是	142460771
在	117665455
你	117024827
和	80350115
有	74108065
不	71256971
就	67293482
也	48857871
都	48783880
要	47808401
吧	46271066
好	45552183
他	41709879
说	41007697
去	39857202
到	35865501
没	35547507
上	34504741
还	34128878
对	33845754
那	32521150
人	30387669
个	29770158
看	29508401
中	29478171
呢	29000283
来	28334141
吗	26514365
为	25694312
会	25226391
她	24668195
与	24599524
给	23186040
等	22151914
这	21896611
用	20303126
把	20010426
下	19811834
能	19508316
恩	19478035
很	19340263
多	18641060
做	18591831
想	17123924
被	16729905
后	16720873
点	16660085
而	16500253
一	16410190
又	16145669
从	15432335
再	14591407
地	14525201
将	14523745
时	14342995
但	14029809
过	13608017
么	13600182
打	13031953
年	12934959
大	12933219
啦	12361131
以	12234386
买	12099569
里	12041894
让	11891070
嗯	11561133
小	11152569
着	11124784
先	10192678
啊	10139710
或	10124562
得	10092239
并	9752008
呀	9563260
找	9437376
新	9401246
及	9365288
于	9176556
跟	9038093
太	8617439
日	8559255
号	8557001
才	8544035
嘛	8536397
发	8470660
可	8429452
比	8335445
玩	8139067
月	8024967
们	8016292
最	8014770
吃	7940059
真	7897868
它	7181424
其	7105662
话	7035520
出	6851747
请	6830483
钱	6785711
叫	6776451
开	6687660
当	6507094
哈	6496022
向	6425599
家	6425002
之	6143057
问	6071376
更	5959698
走	5889497
别	5887712
该	5886917
快	5834893
谁	5821722
前	5741039
由	5716343
高	5533323
所	5419462
您	5397217
天	5377599
加	5368077
却	5355988
已	5329058
内	5025884
写	5004604
啥	4914051
老	4887943
搞	4848014
事	4771989
只	4736622
带	4704173
拿	4703496
如	4662985
行	4576048
死	4489123
卖	4345338
晕	4334463
使	4248575
像	4247054
成	4074240
刚	4067081
无	4061661
换	3974223
回	3914812
哪	3912438
爱	3906018
听	3860036
少	3806075
元	3803657
卡	3763051
靠	3742549
帮	3679093
算	3653468
者	3651301
起	3642124
忙	3616754
各	3581207
分	3547120
学	3539242
总	3510005
则	3501420
系	3427316
水	3402234
张	3368493
改	3352486
唉	3344820
三	3321822
见	3292845
连	3269495
万	3250371
车	3225745
放	3192161
全	3182365
按	3171848
区	3132232
早	3101969
拉	3096997
本	3082647
进	3044568
弄	3036084
偶	3032542
页	3023691
同	3012738
第	3004572
性	3004067
完	2953882
花	2926050
女	2807571
怕	2798033
讲	2789787
杀	2770532
组	2753041
错	2718760
住	2714669
些	2707239
名	2697155
跑	2690214
网	2642069
次	2630107
睡	2604871
装	2580304
正	2555003
王	2551644
外	2545724
挺	2544142
图	2542912
路	2542466
掉	2540524
二	2532615
干	2529791
头	2522677
应	2516977
生	2510299
心	2501916
强	2471042
因	2470106
子	2446029
作	2397596
书	2390513
类	2383816
每	2374448
送	2372559
机	2305897
表	2301457
法	2299221
乖	2278026
市	2266561
哦	2255790
拍	2254355
至	2232628
撒	2210567
接	2194395
美	2190189
未	2178123
即	2171877
办	2168154
非	2167738
此	2165319
级	2154433
哎	2141602
道	2135305
副	2132153
差	2122234
线	2119348
版	2113386
地	2101681
两	2097891
字	2084740
收	2083755
俺	2077936
男	2076834
周	2075446
便	2070979
股	2063193
转	2061582
考	2049753
块	2048849
手	2037006
长	2036361
黄	2029302
猪	2011088
米	2009436
儿	1975511
取	1966185
聊	1966125
低	1958604
难	1955365
哇	1955045
受	1926416
包	1915129
阿	1906625
白	1904466
喝	1896993
门	1888143
四	1887650
金	1887434
近	1874497
管	1867844
定	1855902
够	1852748
笑	1837696
样	1831300
传	1828484
交	1822706
咯	1818725
台	1817204
自	1816472
李	1808426
边	1796843
黑	1792376
型	1785070
慢	1773740
穿	1771699
据	1771049
越	1769544
刷	1768150
面	1762097
位	1756243
群	1736471
贵	1735118
处	1734007
部	1729759
站	1729454
称	1724455
省	1718891
倒	1716854
牛	1716499
选	1709812
怪	1705477
谈	1686292
累	1683118
经	1678362
汗	1659294
象	1658815
变	1658581
数	1656969
红	1649995
查	1644503
半	1644281
咯	1644181
五	1625445
陈	1623928
格	1617877
顶	1614137
马	1602618
方	1599206
楼	1595165
种	1594038
读	1590200
某	1576244
乱	1574209
条	1574083
远	1572383
热	1565355
相	1559272
海	1556896
挂	1556753
单	1551963
风	1547335
光	1543535
满	1533563
且	1523250
额	1518684
咋	1516409
林	1511701
化	1489067
班	1481994
涨	1480450
滴	1468775
约	1465315
关	1460808
坐	1455927
安	1453097
店	1452597
度	1446475
飞	1445843
刘	1439059
俄	1436525
信	1431608
报	1431547
饭	1425891
歌	1424139
若	1418000
原	1415946
文	1407653
山	1403219
晚	1400043
量	1398642
式	1397438
村	1394179
空	1390930
占	1389539
